Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Portrait of Jennie,7.6,William Dieterle,"Robert Nathan, Paul Osborn, Peter Berneis",76.0,1949,United States,English,14768.0,1 hour 26 minutes
Lifeboat,7.6,Alfred Hitchcock,"John Steinbeck, Jo Swerling, Alfred Hitchcock",78.0,1944,United States,"English, German, French",99.0,1 hour 37 minutes
The Invisible Man,7.6,James Whale,"H.G. Wells, R.C. Sherriff, Preston Sturges",87.0,1934,United States,English,27105.0,1 hour 11 minutes
Le procès,7.6,Orson Welles,"Pierre Cholot, Franz Kafka, Orson Welles",76.0,1962,"France, Italy, West Germany",English,93688.0,1 hour 59 minutes
Mass,7.6,Fran Kranz,Fran Kranz,81.0,2021,United States,English,256359.0,1 hour 51 minutes
"Oslo, August 31st",7.6,Joachim Trier,"Joachim Trier, Pierre Drieu La Rochelle, Eskil Vogt",84.0,2011,"Norway, Denmark, Sweden","Norwegian, English",1481665.0,1 hour 35 minutes
The Ladykillers,7.6,Alexander Mackendrick,"William Rose, Jimmy O'Connor",91.0,1956,United Kingdom,English,50276.0,1 hour 31 minutes
Huo Yuan Jia,7.6,Ronny Yu,"Chris Chow, Richard Epcar, Chi-Long To",70.0,2006,"China, Hong Kong, United States","Mandarin, Japanese, English",68072848.0,1 hour 44 minutes
We Will Dance Again,7.6,Yariv Mozer,Yariv Mozer,76.0,2024,"United States, United Kingdom, Israel","Hebrew, English",6600000.0,1 hour 30 minutes
Sorry We Missed You,7.6,Ken Loach,Paul Laverty,82.0,2019,"United Kingdom, France, Belgium",English,8943790.0,1 hour 41 minutes
Scum,7.6,Alan Clarke,Roy Minton,78.0,1979,United Kingdom,English,6461.0,1 hour 38 minutes
Joyland,7.6,Saim Sadiq,"Saim Sadiq, Maggie Briggs",82.0,2022,"Pakistan, United States","Punjabi, Urdu",1164351.0,2 hours 6 minutes
Tell Me Who I Am,7.6,Ed Perkins,"Andrew Caley, Alex Lewis, Marcus Lewis",69.0,2019,United Kingdom,English,10088753.0,1 hour 26 minutes
Mr. Church,7.6,Bruce Beresford,Susan McMartin,37.0,2016,United States,English,685780.0,1 hour 44 minutes
Bad Genius,7.6,Baz Poonpiriya,"Tanida Hantaweewatana, Vasudhorn Piyaromna, Baz Poonpiriya",76.0,2017,Thailand,"Thai, English",44560421.0,2 hours 10 minutes
Omohide Poro Poro,7.6,Isao Takahata,"Hotaru Okamoto, Yuuko Tone, Isao Takahata",90.0,1991,Japan,"Japanese, Bulgarian",608562.0,1 hour 59 minutes
The Big Clock,7.6,John Farrow,"Jonathan Latimer, Kenneth Fearing, Harold Goldman",76.0,1948,United States,English,30711.5,1 hour 35 minutes
Odd Man Out,7.6,Carol Reed,"F.L. Green, R.C. Sherriff",87.0,1947,United Kingdom,English,65759.0,1 hour 56 minutes
Lost Horizon,7.6,Frank Capra,"Robert Riskin, James Hilton, Sidney Buchman",76.0,1937,United States,"English, Mandarin",8835.0,2 hours 12 minutes
The Night of the Iguana,7.6,John Huston,"Tennessee Williams, Anthony Veiller, John Huston",76.0,1964,United States,"English, Spanish",4357.0,2 hours 5 minutes
Down by Law,7.6,Jim Jarmusch,Jim Jarmusch,75.0,1986,"West Germany, United States","English, Italian, French",1529199.0,1 hour 47 minutes
Beautiful Thing,7.6,Hettie Macdonald,Jonathan Harvey,76.0,1996,United Kingdom,English,2176488.0,1 hour 30 minutes
Bloody Sunday,7.6,Paul Greengrass,Paul Greengrass,90.0,2002,"United Kingdom, Ireland, United States",English,1758689.0,1 hour 51 minutes
Tri orísky pro Popelku,7.6,Václav Vorlícek,"Bozena Nemcová, Frantisek Pavlícek, Václav Vorlícek",76.0,1973,"Czechoslovakia, East Germany","German, Czech",54510.0,1 hour 28 minutes
Soldier of Orange,7.6,Paul Verhoeven,"Erik Hazelhoff Roelfzema, Kees Holierhoek, Gerard Soeteman",76.0,1977,"Netherlands, Belgium","Dutch, English, German",218872.0,2 hours 35 minutes
Last Year at Marienbad,7.6,Alain Resnais,Alain Robbe-Grillet,76.0,1961,"France, Italy",French,223111.0,1 hour 34 minutes
Zorba the Greek,7.6,Michael Cacoyannis,"Nikos Kazantzakis, Michael Cacoyannis",76.0,1964,United States,"English, Greek",516.0,2 hours 22 minutes
Gun Crazy,7.6,Joseph H. Lewis,"MacKinlay Kantor, Millard Kaufman, Dalton Trumbo",74.0,1950,United States,English,17322.0,1 hour 27 minutes
Mitt liv som hund,7.6,Lasse Hallström,"Reidar Jönsson, Lasse Hallström, Brasse Brännström",82.0,1985,Sweden,Swedish,8349284.0,1 hour 41 minutes
Wake in Fright,7.6,Ted Kotcheff,"Evan Jones, Kenneth Cook, Ted Kotcheff",85.0,1971,Australia,English,219472.0,1 hour 49 minutes
The Castle,7.6,Rob Sitch,"Santo Cilauro, Tom Gleisner, Jane Kennedy",76.0,1997,Australia,English,889664.0,1 hour 25 minutes
Cell 211,7.6,Daniel Monzón,"Jorge Guerricaechevarría, Daniel Monzón, Francisco Pérez Gandul",76.0,2009,"Spain, France","Spanish, Basque, English",19305314.0,1 hour 53 minutes
Pickup on South Street,7.6,Samuel Fuller,"Samuel Fuller, Dwight Taylor",76.0,1953,United States,English,22070.0,1 hour 20 minutes
The Visitor,7.6,Tom McCarthy,Tom McCarthy,79.0,2008,United States,"English, French, Arabic, Romanian",18197518.0,1 hour 44 minutes
Johnny Guitar,7.6,Nicholas Ray,"Philip Yordan, Roy Chanslor, Nicholas Ray",83.0,1954,United States,English,5048.0,1 hour 50 minutes
The Public Enemy,7.6,William A. Wellman,"Kubec Glasmon, John Bright, Harvey F. Thew",80.0,1931,United States,English,1214260.0,1 hour 23 minutes
Dr. Jekyll and Mr. Hyde,7.6,Rouben Mamoulian,"Samuel Hoffenstein, Percy Heath, Robert Louis Stevenson",76.0,1932,United States,English,16615.0,1 hour 38 minutes
All That Heaven Allows,7.6,Douglas Sirk,"Peggy Thompson, Edna L. Lee, Harry Lee",78.0,1955,United States,English,287.0,1 hour 29 minutes
Nelyubov,7.6,Andrey Zvyagintsev,"Oleg Negin, Andrey Zvyagintsev",86.0,2017,"Russia, France, Germany, Belgium, Cyprus","Russian, Portuguese, Uzbek",3928358.0,2 hours 7 minutes
Lonely Are the Brave,7.6,David Miller,"Dalton Trumbo, Edward Abbey",76.0,1962,United States,"English, Spanish",27189.0,1 hour 47 minutes
Mrs. Miniver,7.6,William Wyler,"Arthur Wimperis, George Froeschel, James Hilton",76.0,1942,United States,"English, German",10319.5,2 hours 14 minutes
Capturing the Friedmans,7.6,Andrew Jarecki,"Arnold Friedman, Jesse Friedman, David Friedman",90.0,2003,United States,English,4076990.0,1 hour 47 minutes
Destry Rides Again,7.6,George Marshall,"Felix Jackson, Gertrude Purcell, Henry Myers",81.0,1939,United States,"English, Russian",25741.0,1 hour 35 minutes
El infierno,7.6,Luis Estrada,"Luis Estrada, Jaime Sampietro",76.0,2021,Mexico,"Spanish, English",6703873.0,2 hours 29 minutes
The Pawnbroker,7.6,Sidney Lumet,"Morton S. Fine, David Friedkin, Edward Lewis Wallant",69.0,1965,United States,"English, Spanish, German",90869.0,1 hour 56 minutes
Sanju,7.6,Rajkumar Hirani,"Abhiruchi Chand, Rajkumar Hirani, Abhijat Joshi",76.0,2018,India,Hindi,76693052.0,2 hours 35 minutes
Hævnen,7.6,Susanne Bier,"Anders Thomas Jensen, Susanne Bier, Per Nielsen",65.0,2010,"Denmark, Sweden, Belgium, Germany","Danish, Swedish, English, Arabic",13004504.0,1 hour 58 minutes
Il Violino Rosso,7.6,François Girard,"Don McKellar, François Girard",57.0,1998,"Canada, Italy, United States, United Kingdom, Austria","English, Italian, German, French, Mandarin",10019109.0,2 hours 10 minutes
Shurayukihime,7.6,Toshiya Fujita,"Kazuo Kamimura, Kazuo Koike, Norio Osada",80.0,1973,Japan,"Japanese, English",54510.0,1 hour 37 minutes
Sans toit ni loi,7.6,Agnès Varda,Agnès Varda,76.0,1985,France,"French, Arabic, English",14241310.0,1 hour 45 minutes
Remember the Night,7.6,Mitchell Leisen,Preston Sturges,78.0,1940,United States,English,31111.0,1 hour 34 minutes
Meet John Doe,7.6,Frank Capra,"Richard Connell, Robert Presnell Sr., Robert Riskin",63.0,1941,United States,English,26748.5,2 hours 15 minutes
Shiddat,7.6,Kunal Deshmukh,"Shridhar Raghavan, Dheeraj Rattan, Pooja Ladha Surti",76.0,2021,India,Hindi,7527030.0,2 hours 26 minutes
Fire of Love,7.6,Sara Dosa,"Sara Dosa, Erin Casper, Jocelyne Chaput",84.0,2022,"Canada, United States","French, English",1695072.0,1 hour 38 minutes
The Woman in the Window,7.6,Fritz Lang,"Nunnally Johnson, J.H. Wallis",76.0,1944,United States,English,2391.0,1 hour 47 minutes
1776,7.6,Peter H. Hunt,"Peter Stone, Sherman Edwards",76.0,1972,United States,English,12697.5,2 hours 21 minutes
The Magnificent Ambersons,7.6,"Orson Welles, Fred Fleck, Robert Wise","Booth Tarkington, Orson Welles, Joseph Cotten",93.0,1942,United States,English,10319.5,1 hour 28 minutes
"Josee, the Tiger and the Fish",7.6,Kôtarô Tamura,"Seiko Tanabe, Sayaka Kuwamura",76.0,2020,Japan,"Japanese, English, French, Spanish, Italian, German",384212.0,1 hour 39 minutes
Carandiru,7.6,Hector Babenco,"Hector Babenco, Fernando Bonassi, Victor Navas",71.0,2003,"Brazil, Argentina, Italy",Portuguese,10781635.0,2 hours 25 minutes
The Man Who Laughs,7.6,Paul Leni,"Victor Hugo, J. Grubb Alexander, Walter Anthony",76.0,1928,United States,English,4347.0,1 hour 50 minutes
Shao Lin san shi liu fang,7.6,Chia-Liang Liu,Kuang Ni,76.0,1978,Hong Kong,Mandarin,10432366.0,1 hour 56 minutes
The Incredible Shrinking Man,7.6,Jack Arnold,"Richard Matheson, Richard Alan Simmons",73.0,1957,United States,English,2580.0,1 hour 21 minutes
Mister Roberts,7.6,"John Ford, Mervyn LeRoy, Joshua Logan","Frank S. Nugent, Joshua Logan, Thomas Heggen",72.0,1955,United States,English,28033.5,2 hours 3 minutes
Les Misérables,7.6,Ladj Ly,"Ladj Ly, Giordano Gederlini, Alexis Manenti",78.0,2019,France,"French, Bambara",54606372.0,1 hour 44 minutes
Piku,7.6,Shoojit Sircar,Juhi Chaturvedi,76.0,2015,India,Hindi,2452343.0,2 hours 3 minutes
Mutiny on the Bounty,7.6,Frank Lloyd,"Talbot Jennings, Jules Furthman, Carey Wilson",87.0,1936,United States,"English, Polynesian",10037.0,2 hours 12 minutes
Rupan sansei: Kariosutoro no shiro,7.6,Hayao Miyazaki,"Monkey Punch, Maurice Leblanc, Hayao Miyazaki",72.0,1979,Japan,"Japanese, English, French",533344.0,1 hour 40 minutes
Wake Up Sid,7.6,Ayan Mukerji,"Ayan Mukerji, Niranjan Iyengar",76.0,2009,India,Hindi,4278081.0,2 hours 18 minutes
Les amants du Pont-Neuf,7.6,Leos Carax,Leos Carax,76.0,1991,France,French,29679.0,2 hours 5 minutes
Le dîner de cons,7.6,Francis Veber,Francis Veber,73.0,1998,France,French,4071548.0,1 hour 20 minutes
Love in the Afternoon,7.6,Éric Rohmer,Éric Rohmer,76.0,1972,France,French,3520.0,1 hour 37 minutes
The Defiant Ones,7.6,Stanley Kramer,"Nedrick Young, Harold Jacob Smith",69.0,1958,United States,English,17413.0,1 hour 36 minutes
The Boys in the Band,7.6,William Friedkin,Mart Crowley,65.0,1970,United States,English,2695.0,2 hours
A Heart in Winter,7.6,Claude Sautet,"Claude Sautet, Jacques Fieschi, Jérôme Tonnerre",76.0,1992,France,French,1605437.0,1 hour 45 minutes
Enron: The Smartest Guys in the Room,7.6,Alex Gibney,"Alex Gibney, Bethany McLean, Peter Elkind",76.0,2005,United States,"English, Romanian",4854164.0,1 hour 50 minutes
The Miracle,7.6,Mahsun Kirmizigül,Mahsun Kirmizigül,76.0,2017,Turkey,Turkish,15584520.0,2 hours 16 minutes
Hamlet,7.6,Laurence Olivier,"William Shakespeare, Laurence Olivier",82.0,1948,United Kingdom,English,30711.5,2 hours 34 minutes
Sophie Scholl - Die letzten Tage,7.6,Marc Rothemund,Fred Breinersdorfer,76.0,2005,Germany,German,10804315.0,2 hours
The Man Without a Past,7.6,Aki Kaurismäki,Aki Kaurismäki,84.0,2002,"Finland, Germany, France",Finnish,9564237.0,1 hour 37 minutes
After Life,7.6,Hirokazu Koreeda,Hirokazu Koreeda,91.0,1999,Japan,Japanese,801985.0,1 hour 59 minutes
Ghoomer,7.6,R Balki,"R Balki, Rahul Sengupta, Rishi Virmani",76.0,2023,India,Hindi,36948.0,2 hours 15 minutes
Moonage Daydream,7.6,Brett Morgen,Brett Morgen,83.0,2022,"United States, Germany",English,13095781.0,2 hours 15 minutes
Love and Death,7.6,Woody Allen,Woody Allen,89.0,1975,United States,English,20123742.0,1 hour 25 minutes
Der siebente Kontinent,7.6,Michael Haneke,"Michael Haneke, Johanna Teicht",89.0,1992,Austria,"German, French, English",10555619.0,1 hour 48 minutes
The Devil and Daniel Webster,7.6,William Dieterle,"Dan Totheroh, Stephen Vincent Benet",76.0,1941,United States,English,26748.5,1 hour 47 minutes
Quincy,7.6,"Alan Hicks, Rashida Jones","Alan Hicks, Rashida Jones",60.0,2018,United States,English,11382356.5,2 hours 4 minutes
Zelig,7.6,Woody Allen,Woody Allen,76.0,1983,United States,"English, German",11798616.0,1 hour 19 minutes
Bande à part,7.6,Jean-Luc Godard,"Dolores Hitchens, Jean-Luc Godard",93.0,1964,France,"French, English",135732.0,1 hour 35 minutes
Madras Cafe,7.6,Shoojit Sircar,"Shubhendu Bhattacharya, Juhi Chaturvedi, Somnath Dey",76.0,2013,India,Hindi,38333.0,2 hours 10 minutes
Laurence Anyways,7.6,Xavier Dolan,Xavier Dolan,73.0,2012,"Canada, France","French, English, Latin",399784.0,2 hours 48 minutes
Sanam Teri Kasam,7.6,"Radhika Rao, Vinay Sapru","Radhika Rao, Vinay Sapru",76.0,2016,India,Hindi,1386707.0,2 hours 34 minutes
My Way,7.6,Kang Je-kyu,"Kang Je-kyu, Justin Byung-in Kim, Na-hyun Kim",30.0,2011,South Korea,"Korean, Japanese, Mandarin, Russian, German, English",16653488.0,2 hours 17 minutes
"Play It Again, Sam",7.6,Herbert Ross,Woody Allen,77.0,1972,United States,"English, Italian",15413.0,1 hour 25 minutes
Bakemono no ko,7.6,Mamoru Hosoda,Mamoru Hosoda,65.0,2015,Japan,"German, Portuguese, Italian, English, Spanish, French, Japanese",49781599.0,1 hour 59 minutes
Buena Vista Social Club,7.6,Wim Wenders,"Wim Wenders, Nick Gold",81.0,1999,"Germany, United States, United Kingdom, France, Cuba","English, Spanish",23142551.0,1 hour 45 minutes
Where the Sidewalk Ends,7.6,Otto Preminger,"Ben Hecht, Victor Trivas, Frank P. Rosenberg",76.0,1950,United States,English,43024.0,1 hour 35 minutes
Superman II: The Richard Donner Cut,7.6,"Richard Donner, Richard Lester","Joe Shuster, Jerry Siegel, Mario Puzo",76.0,2006,"United Kingdom, United States","English, Russian",6207173.0,1 hour 56 minutes
Le bonheur,7.6,Agnès Varda,Agnès Varda,76.0,1965,France,French,90869.0,1 hour 20 minutes
And Then We Danced,7.6,Levan Akin,Levan Akin,68.0,2019,"Sweden, Georgia, France",Georgian,621446.0,1 hour 53 minutes
Control,7.6,Nimród Antal,"Nimród Antal, Jim Adler",72.0,2003,Hungary,Hungarian,1277800.0,1 hour 51 minutes
Xi yan,7.6,Ang Lee,"Ang Lee, Neil Peng, James Schamus",76.0,1993,"Taiwan, United States","Mandarin, English",6933459.0,1 hour 46 minutes
A Thursday,7.6,Behzad Khambata,"Behzad Khambata, Ashley Lobo, Vijay Maurya",76.0,2022,India,Hindi,3253561.5,2 hours 8 minutes
Campanadas a medianoche,7.6,Orson Welles,"William Shakespeare, Raphael Holinshed, Orson Welles",94.0,1966,"Spain, Switzerland, France",English,126724.0,1 hour 59 minutes
Il vangelo secondo Matteo,7.6,Pier Paolo Pasolini,Pier Paolo Pasolini,76.0,1965,"Italy, France",Italian,16572.0,2 hours 17 minutes
Gonzo: The Life and Work of Dr. Hunter S. Thompson,7.6,Alex Gibney,"Alex Gibney, Hunter S. Thompson",73.0,2008,United States,"English, Portuguese",1491958.0,2 hours
The More the Merrier,7.6,George Stevens,"Robert Russell, Frank Ross, Richard Flournoy",76.0,1943,United States,English,36089.0,1 hour 44 minutes
Lovers of the Arctic Circle,7.6,Julio Medem,Julio Medem,76.0,1998,"Spain, France","Spanish, English",357549.0,1 hour 52 minutes
Bob le flambeur,7.6,Jean-Pierre Melville,"Jean-Pierre Melville, Auguste Le Breton",80.0,1956,France,"French, English",16152.0,1 hour 42 minutes
Let It Be,7.6,Michael Lindsay-Hogg,"John Lennon, Paul McCartney, George Harrison",72.0,1970,United Kingdom,English,56650.5,1 hour 21 minutes
Road to Ninja: Naruto the Movie,7.6,Hayato Date,"Masashi Kishimoto, Yuka Miyata, Junki Takegami",76.0,2012,Japan,"English, Italian, French, German, Spanish, Portuguese, Hebrew, Hungarian, Japanese",17876559.0,1 hour 49 minutes
Darr,7.6,Yash Chopra,"Honey Irani, Javed Siddiqui",76.0,1993,India,Hindi,7366736.0,2 hours 58 minutes
Bitter Rice,7.6,Giuseppe De Santis,"Giuseppe De Santis, Carlo Lizzani, Gianni Puccini",76.0,1949,Italy,Italian,14768.0,1 hour 48 minutes
Hungama,7.6,Priyadarshan,"Priyadarshan, Neeraj Vora, Jay Master",76.0,2003,India,Hindi,1979689.0,2 hours 33 minutes
12,7.6,Nikita Mikhalkov,"Nikita Mikhalkov, Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko",72.0,2007,Russia,"Russian, Chechen",7537453.0,2 hours 39 minutes
Cha no aji,7.6,Katsuhito Ishii,Katsuhito Ishii,77.0,2005,Japan,Japanese,21324.0,2 hours 23 minutes
Pina,7.6,Wim Wenders,Wim Wenders,83.0,2011,"Germany, France, United Kingdom, United States","German, French, English, Spanish, Croatian, Italian, Portuguese, Russian, Korean",18705853.0,1 hour 43 minutes
Caged,7.6,John Cromwell,"Virginia Kellogg, Bernard C. Schoenfeld",76.0,1950,United States,English,43024.0,1 hour 37 minutes
Peppermint Candy,7.6,Lee Chang-dong,Lee Chang-dong,76.0,2000,"South Korea, Japan",Korean,89184.0,2 hours 9 minutes
Accattone,7.6,Pier Paolo Pasolini,"Pier Paolo Pasolini, Sergio Citti",76.0,1961,Italy,"Italian, Latin",2865.0,1 hour 57 minutes
Fox and His Friends,7.6,Rainer Werner Fassbinder,"Rainer Werner Fassbinder, Christian Hohoff",76.0,1975,West Germany,"German, English, French",8148.0,2 hours 4 minutes
The Song of Bernadette,7.6,Henry King,"George Seaton, Franz Werfel, Jacques Monteux",76.0,1945,United States,"English, French",24113.0,2 hours 36 minutes
Longtime Companion,7.6,Norman René,Craig Lucas,76.0,1990,United States,English,4609953.0,1 hour 36 minutes
Pickpocket,7.6,Robert Bresson,Robert Bresson,76.0,1959,France,French,7541.0,1 hour 16 minutes
O Lucky Man!,7.6,Lindsay Anderson,"David Sherwin, Malcolm McDowell",76.0,1973,"United Kingdom, United States",English,332.0,2 hours 58 minutes
The Pride of the Yankees,7.6,Sam Wood,"Jo Swerling, Herman J. Mankiewicz, Paul Gallico",76.0,1943,United States,English,36089.0,2 hours 8 minutes
Yankee Doodle Dandy,7.6,Michael Curtiz,"Robert Buckner, Edmund Joseph, Julius J. Epstein",89.0,1942,United States,English,10319.5,2 hours 6 minutes
The Snake Pit,7.6,Anatole Litvak,"Frank Partos, Millen Brand, Mary Jane Ward",76.0,1948,United States,"English, German, Russian",30711.5,1 hour 48 minutes
Gulmohar,7.6,Rahul V. Chittella,"Rahul V. Chittella, Arpita Mukherjee",76.0,2023,India,Hindi,4609670.5,2 hours 11 minutes
Love Streams,7.6,John Cassavetes,"Ted Allan, John Cassavetes",76.0,1984,United States,"English, French, Spanish",10823.0,2 hours 21 minutes
Il grido,7.6,Michelangelo Antonioni,"Michelangelo Antonioni, Elio Bartolini, Ennio De Concini",76.0,1958,"Italy, United States",Italian,17413.0,1 hour 56 minutes
Ju Dou,7.6,"Yimou Zhang, Fengliang Yang",Heng Liu,76.0,1990,"China, Japan",Mandarin,1986433.0,1 hour 35 minutes
Aile Arasinda,7.6,Ozan Açiktan,Gülse Birsel,76.0,2017,Turkey,Turkish,10081222.0,2 hours 4 minutes
Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta,7.6,Shigeyasu Yamauchi,"Akira Toriyama, Takao Koyama",76.0,1995,Japan,Japanese,270354.0,51 minutes
The Endless Summer,7.6,Bruce Brown,Bruce Brown,82.0,1966,United States,English,11274.0,1 hour 35 minutes
Mortal world,7.6,Ali Atay,"Ali Atay, Ali Demirel, Aziz Kedi",76.0,2018,Turkey,Turkish,1562712.0,1 hour 47 minutes
Kannur Squad,7.6,Roby Varghese Raj,"Rony David, Muhammed Shafi",76.0,2023,India,Malayalam,1981526.0,2 hours 41 minutes
After the Thin Man,7.6,W.S. Van Dyke,"Frances Goodrich, Albert Hackett, Dashiell Hammett",76.0,1936,United States,English,10037.0,1 hour 52 minutes
Ponniyin Selvan,7.6,"Mani Ratnam, Sruti Harihara Subramanian","Mani Ratnam, Jayamohan, Kumaravel",76.0,2022,India,"Malayalam, Kannada, Telugu, Tamil",21888295.0,2 hours 47 minutes
The Last: Naruto the Movie,7.6,Tsuneo Kobayashi,"Maruo Kyôzuka, Masashi Kishimoto, Seth Walther",76.0,2014,Japan,Japanese,2949185.0,1 hour 52 minutes
Le rayon vert,7.6,Éric Rohmer,"Marie Rivière, Éric Rohmer",76.0,1986,France,"French, English, Spanish, German",64832.0,1 hour 39 minutes
Agneepath,7.6,Mukul Anand,"H. Banerjee, Kader Khan, Santosh Saroj",76.0,1990,India,Hindi,13057302.0,2 hours 54 minutes
Ostre sledované vlaky,7.6,Jirí Menzel,"Bohumil Hrabal, Jirí Menzel",76.0,1966,Czechoslovakia,"Czech, German",34198.0,1 hour 32 minutes
Yangguang puzhao,7.6,Mong-Hong Chung,"Yaosheng Chang, Mong-Hong Chung",76.0,2019,Taiwan,Mandarin,10088753.0,2 hours 36 minutes
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.6,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman",77.0,2017,"United States, Canada","English, East-Greenlandic",15697699.0,1 hour 34 minutes
Yoidore tenshi,7.6,Akira Kurosawa,"Keinosuke Uekusa, Akira Kurosawa",76.0,1948,Japan,Japanese,46961.0,1 hour 38 minutes
Ludo,7.6,Anurag Basu,"Anurag Basu, Samrat Chakraborty",76.0,2020,India,Hindi,25211175.0,2 hours 29 minutes
The Sea Hawk,7.6,Michael Curtiz,"Howard Koch, Seton I. Miller",76.0,1940,United States,English,31111.0,2 hours 7 minutes
The Sky Is Pink,7.6,Shonali Bose,"Shonali Bose, Juhi Chaturvedi, Nilesh Maniyar",55.0,2019,"India, United Kingdom, Canada, United States, China",Hindi,1088641.0,2 hours 23 minutes
HIT,7.6,Sailesh Kolanu,"Sailesh Kolanu, Surbhi Sehgal",76.0,2020,India,Telugu,617889.0,2 hours 5 minutes
Karwaan,7.6,Akarsh Khurana,"Bejoy Nambiar, Akarsh Khurana, Adhir Bhat",76.0,2018,India,"Hindi, Malayalam",536525.0,1 hour 54 minutes
Ghajini,7.6,A.R. Murugadoss,"A.R. Murugadoss, Shashank",76.0,2005,India,Tamil,8012838.0,2 hours 55 minutes
The Inquisitor,7.6,Claude Miller,"John Wainwright, Claude Miller, Jean Herman",76.0,1981,France,French,11748153.5,1 hour 27 minutes
The Fallen Idol,7.6,Carol Reed,"Graham Greene, Lesley Storm, William Templeton",88.0,1948,United Kingdom,"English, French",373185.0,1 hour 35 minutes
L'Insult,7.6,Ziad Doueiri,"Ziad Doueiri, Joelle Touma",72.0,2017,"France, Cyprus, Belgium, Lebanon, United States",Arabic,3666268.0,1 hour 53 minutes
The Seven Five,7.6,Tiller Russell,"Mike Dowd, Ken Eurell, Walter Yurkiw",69.0,2015,United States,English,48869.0,1 hour 44 minutes
Kárhozat,7.6,Béla Tarr,"László Krasznahorkai, Béla Tarr",76.0,1988,Hungary,Hungarian,8600823.0,2 hours
